year,percentage,gender,age
1985,5.45,M,40-44
1990,4.16,M,40-44
1991,5.12,M,40-44
1992,5.04,M,40-44
1993,5.27,M,40-44
1994,5.58,M,40-44
1995,5.48,M,40-44
1996,5.2,M,40-44
1997,4.74,M,40-44
1998,4.94,M,40-44
1999,4.98,M,40-44
2000,4.38,M,40-44
2001,4.48,M,40-44
2002,4.25,M,40-44
2003,4.17,M,40-44
2004,4.89,M,40-44
2005,5.48,M,40-44
2006,4.84,M,40-44
2007,5.59,M,40-44
2008,5.85,M,40-44
2009,5.59,M,40-44
2010,5.21,M,40-44
2011,5.85,M,40-44
2012,6.52,M,40-44
2013,5.6,M,40-44
1985,1.85,F,40-44
1990,1.47,F,40-44
1991,1.56,F,40-44
1992,1.75,F,40-44
1993,1.79,F,40-44
1994,1.67,F,40-44
1995,1.69,F,40-44
1996,1.9,F,40-44
1997,1.96,F,40-44
1998,1.68,F,40-44
1999,1.8,F,40-44
2000,1.72,F,40-44
2001,1.48,F,40-44
2002,1.41,F,40-44
2003,1.59,F,40-44
2004,1.64,F,40-44
2005,1.5,F,40-44
2006,1.75,F,40-44
2007,1.83,F,40-44
2008,1.87,F,40-44
2009,1.73,F,40-44
2010,1.62,F,40-44
2011,2.07,F,40-44
2012,2.1,F,40-44
2013,1.94,F,40-44
1985,8.32,M,35-39
1990,6.85,M,35-39
1991,7.75,M,35-39
1992,7.95,M,35-39
1993,7.85,M,35-39
1994,7.79,M,35-39
1995,7.08,M,35-39
1996,7.22,M,35-39
1997,7.72,M,35-39
1998,6.72,M,35-39
1999,7.11,M,35-39
2000,6.45,M,35-39
2001,7.33,M,35-39
2002,7.07,M,35-39
2003,6.44,M,35-39
2004,8.04,M,35-39
2005,7.81,M,35-39
2006,8.48,M,35-39
2007,8.37,M,35-39
2008,8.49,M,35-39
2009,9.2,M,35-39
2010,7.79,M,35-39
2011,8.92,M,35-39
2012,9.65,M,35-39
2013,8.62,M,35-39
1985,3.34,F,35-39
1990,3.66,F,35-39
1991,3.74,F,35-39
1992,3.67,F,35-39
1993,3.83,F,35-39
1994,3.88,F,35-39
1995,3.73,F,35-39
1996,3.57,F,35-39
1997,4.01,F,35-39
1998,3.46,F,35-39
1999,3.84,F,35-39
2000,3.24,F,35-39
2001,3.34,F,35-39
2002,3.29,F,35-39
2003,2.92,F,35-39
2004,3.41,F,35-39
2005,3.21,F,35-39
2006,3.35,F,35-39
2007,3.97,F,35-39
2008,3.88,F,35-39
2009,3.92,F,35-39
2010,3.63,F,35-39
2011,4.24,F,35-39
2012,4.32,F,35-39
2013,4.46,F,35-39
1985,4.58,M,45-49
1990,2.83,M,45-49
1991,3.39,M,45-49
1992,3.85,M,45-49
1993,4.02,M,45-49
1994,3.9,M,45-49
1995,3.52,M,45-49
1996,3.46,M,45-49
1997,3.55,M,45-49
1998,3.29,M,45-49
1999,3.66,M,45-49
2000,3.09,M,45-49
2001,3.03,M,45-49
2002,3.08,M,45-49
2003,2.93,M,45-49
2004,3.14,M,45-49
2005,3.92,M,45-49
2006,3.78,M,45-49
2007,3.86,M,45-49
2008,3.7,M,45-49
2009,4.06,M,45-49
2010,3.67,M,45-49
2011,4.12,M,45-49
2012,3.98,M,45-49
